,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Atuona,0,PF,1584327400,65,-9.8,-139.03,82.2,8.75
1,Castro,13,BR,1584326936,86,-24.79,-50.01,65.79,3.42
2,Yellowknife,20,CA,1584327250,66,62.46,-114.35,10.4,18.34
3,La Ciotat,0,FR,1584327401,57,43.17,5.6,55.4,10.29
4,Rikitea,3,PF,1584327401,79,-23.12,-134.97,79.63,12.71
5,Shillong,20,IN,1584327401,83,25.57,91.88,75.2,3.04
6,Katsuura,75,JP,1584327045,40,35.13,140.3,57.0,16.11
7,Kumul,0,CN,1584327401,18,42.8,93.45,47.59,3.09
8,Gobabis,0,NA,1584327107,88,-22.45,18.97,69.8,3.06
9,Avarua,100,CK,1584327011,79,-21.21,-159.78,84.2,6.93
10,Olafsvik,100,IS,1584327401,91,64.89,-23.71,32.27,23.6
11,Livingstonia,100,MW,1584327401,88,-10.61,34.11,59.4,3.94
12,Hithadhoo,100,MV,1584326972,62,-0.6,73.08,83.16,5.84
13,Khorinsk,56,RU,1584327401,67,52.17,109.77,32.13,14.25
14,Ushuaia,40,AR,1584326844,71,-54.8,-68.3,53.6,5.82
15,Saint-Philippe,93,RE,1584326835,60,-21.36,55.77,75.2,9.17
16,Cherskiy,94,RU,1584326706,85,68.75,161.3,8.53,6.58
17,Sobolevo,0,RU,1584327401,69,54.43,31.9,26.82,7.07
18,Sretensk,100,RU,1584327401,88,52.25,117.71,29.95,4.05
19,Santa Fe,100,AR,1584327401,82,-31.63,-60.7,70.0,6.2
20,Dikson,100,RU,1584327032,100,73.51,80.55,-14.04,8.28
21,Zorritos,75,PE,1584327401,33,-3.68,-80.68,89.6,3.36
22,Sioux Lookout,90,CA,1584326918,85,50.1,-91.92,26.6,5.82
23,Pacifica,90,US,1584327301,70,37.61,-122.49,51.8,3.36
24,Sur,12,OM,1584327402,70,22.57,59.53,67.82,9.22
25,Hobart,20,AU,1584327402,52,-42.88,147.33,72.0,10.29
26,Barrow,90,US,1584326651,85,71.29,-156.79,12.2,13.87
27,Hilo,90,US,1584327171,74,19.73,-155.09,78.8,13.87
28,Port Alfred,100,ZA,1584327015,98,-33.59,26.89,62.01,1.99
29,Punta Arenas,75,CL,1584327402,87,-53.15,-70.92,55.4,16.11
30,Nantucket,1,US,1584327005,74,41.28,-70.1,30.99,3.36
31,Chui,99,UY,1584327043,74,-33.7,-53.46,61.84,4.61
32,Bluff,67,NZ,1584327402,69,-46.6,168.33,55.0,15.99
33,Yatou,17,CN,1584327402,46,37.15,122.38,38.68,11.05
34,Andapa,100,MG,1584327402,96,-14.65,49.65,66.0,2.37
35,Mayumba,91,GA,1584327102,81,-3.43,10.66,82.26,5.35
36,Shingū,40,JP,1584327402,61,33.73,135.98,46.4,21.92
37,Loandjili,75,CG,1584327402,94,-4.76,11.86,80.6,2.24
38,Saint Paul Harbor,75,US,1584326597,64,57.79,-152.41,39.2,6.93
39,Torbay,40,CA,1584327017,73,47.67,-52.73,26.01,8.05
40,Ryōtsu-minato,75,JP,1584327402,64,38.08,138.43,41.0,8.05
41,Linxia Chengguanzhen,100,CN,1584327403,60,35.6,103.21,31.32,2.71
42,Mount Gambier,0,AU,1584327059,43,-37.83,140.77,69.8,5.82
43,Busselton,91,AU,1584327403,39,-33.65,115.33,77.0,7.52
44,Saint-François,33,FR,1584327403,82,46.42,3.91,39.2,2.24
45,Karratha,0,AU,1584327071,70,-20.74,116.85,86.41,8.21
46,Carnarvon,40,AU,1584326807,61,-24.87,113.63,82.4,12.75
47,Clyde River,20,CA,1584326895,67,70.47,-68.59,-22.0,17.22
48,Jamestown,1,US,1584326991,50,42.1,-79.24,30.2,8.05
49,Upernavik,0,GL,1584327065,78,72.79,-56.15,-22.16,6.15
50,Tasiilaq,100,GL,1584326994,46,65.61,-37.64,8.6,17.22
51,Newport,0,GB,1584327303,93,51.59,-3.0,41.0,6.93
52,Tuy Hoa,0,VN,1584327403,79,13.08,109.3,78.62,5.21
53,Vostok,28,RU,1584326929,76,46.49,135.88,19.0,11.72
54,Lebedinyy,100,RU,1584327403,92,58.52,125.52,23.25,6.44
55,Tilichiki,100,RU,1584327051,96,60.47,166.1,28.92,23.58
56,Hermanus,50,ZA,1584326902,77,-34.42,19.23,64.63,32.01
57,Puerto Ayora,20,EC,1584327403,83,-0.74,-90.35,78.8,6.93
58,Leningradskiy,0,RU,1584327067,73,69.38,178.42,13.6,4.23
59,Vila Velha,20,BR,1584326974,88,-20.33,-40.29,77.0,1.12
60,Hasaki,40,JP,1584326842,59,35.73,140.83,57.0,10.29
61,Araranguá,100,BR,1584327403,90,-28.93,-49.49,73.4,7.45
62,Qobustan,75,AZ,1584327403,93,40.08,49.41,44.6,13.87
63,Lüderitz,0,NA,1584327011,82,-26.65,15.16,62.6,12.75
64,Khatanga,19,RU,1584326940,93,71.97,102.5,-25.28,11.5
65,Vila Franca do Campo,20,PT,1584327032,81,37.72,-25.43,50.0,3.36
66,Jiazi,15,CN,1584327404,49,22.88,116.07,71.33,13.22
67,Coquimbo,90,CL,1584327024,87,-29.95,-71.34,60.8,2.24
68,Butaritari,88,KI,1584326846,78,3.07,172.79,84.04,13.04
69,Okakarara,40,NA,1584327404,73,-20.58,17.43,67.68,2.84
70,Norman Wells,20,CA,1584327005,72,65.28,-126.83,14.0,14.99
71,George Town,20,MY,1584326853,70,5.41,100.34,87.8,4.7
72,Beringovskiy,77,RU,1584326994,85,63.05,179.32,29.1,6.78
73,Portland,75,US,1584327271,41,45.52,-122.68,43.0,19.46
74,Mataura,97,NZ,1584327404,69,-46.19,168.86,55.0,15.99
75,Mar del Plata,40,AR,1584327046,87,-38.0,-57.56,60.01,6.78
76,Kisi,0,NG,1584327404,62,9.08,3.85,72.59,3.62
77,Mossamedes,100,AO,1584326990,78,-15.2,12.15,75.52,5.86
78,Guerrero Negro,0,MX,1584327404,72,27.98,-114.06,60.51,15.5
79,São Filipe,14,CV,1584326918,72,14.9,-24.5,70.61,20.02
80,Albany,1,US,1584327302,50,42.6,-73.97,30.99,11.41
81,Ribeira Grande,4,PT,1584327016,79,38.52,-28.7,56.34,9.33
82,Ucluelet,0,CA,1584326846,70,48.93,-125.55,42.01,2.13
83,Lincoln,90,US,1584327327,87,40.8,-96.67,34.0,3.36
84,Kaitangata,100,NZ,1584326893,76,-46.28,169.85,55.0,1.99
85,Yulara,0,AU,1584327042,9,-25.24,130.99,87.8,8.05
86,Rodrigues Alves,90,BR,1584327405,100,-7.74,-72.65,75.2,4.7
87,Umeå,32,SE,1584327405,59,63.83,20.26,35.6,24.16
88,Magugu,100,TZ,1584327405,93,-4.02,35.77,65.88,0.56
89,Nanortalik,19,GL,1584327030,65,60.14,-45.24,18.41,24.92
90,Ushumun,100,RU,1584327405,89,52.78,126.53,21.27,0.67
91,Kinango,100,KE,1584327405,92,-4.14,39.32,77.04,2.21
92,Qaanaaq,100,GL,1584327056,51,77.48,-69.36,-2.33,6.87
93,Along,100,IN,1584327016,78,28.17,94.77,65.64,2.01
94,Sterling,1,US,1584327198,100,39.01,-77.43,43.0,3.36
95,Springbok,0,ZA,1584327405,61,-29.66,17.89,61.23,12.26
96,Makīnsk,24,KZ,1584327061,88,52.63,70.42,26.56,4.32
97,Vanimo,100,PG,1584327028,89,-2.67,141.3,76.68,6.42
98,Lebu,0,CL,1584326923,76,-37.62,-73.65,56.28,8.46
99,Gallup,1,US,1584327134,34,35.53,-108.74,48.2,6.93
100,Cape Town,20,ZA,1584326706,68,-33.93,18.42,64.99,13.87
101,Kapaa,75,US,1584326989,78,22.08,-159.32,78.8,8.05
102,Codrington,0,AU,1584326947,76,-38.27,141.97,60.51,13.85
103,Souillac,40,MU,1584327018,88,-20.52,57.52,75.2,2.24
104,Huarmey,100,PE,1584327405,69,-10.07,-78.15,73.71,2.3
105,Kankakee,1,US,1584327406,78,41.15,-87.87,35.01,5.82
106,Cabo San Lucas,75,MX,1584326825,72,22.89,-109.91,70.0,3.36
107,Iqaluit,90,CA,1584326936,70,63.75,-68.51,-0.4,4.7
108,Sitka,1,US,1584327002,70,57.05,-135.33,42.8,12.75
109,Jardim,31,BR,1584327406,71,-21.48,-56.14,76.1,3.56
110,East London,97,ZA,1584327024,71,-33.02,27.91,69.26,11.86
111,Tuktoyaktuk,20,CA,1584327000,76,69.45,-133.04,-7.6,5.82
112,Pevek,0,RU,1584326997,82,69.7,170.31,7.54,12.26
113,Aklavik,75,CA,1584327002,65,68.22,-135.01,3.2,2.24
114,Mukhtolovo,94,RU,1584327406,83,55.46,43.2,23.77,8.88
115,Gushikawa,0,JP,1584327406,40,26.35,127.87,69.8,17.22
116,Berlevåg,100,NO,1584327253,64,70.86,29.09,29.03,11.18
117,Puerto Peñasco,0,MX,1584327406,81,31.32,-113.53,63.0,5.97
118,Esna,0,EG,1584327406,72,25.29,32.55,60.8,2.91
119,Vaini,90,TO,1584326780,89,-21.2,-175.2,84.2,12.75
120,Noril'sk,75,RU,1584327406,83,69.35,88.2,-13.0,11.18
121,Paamiut,0,GL,1584327019,59,61.99,-49.67,-4.2,15.32
122,Lodja,100,CD,1584327406,99,-3.48,23.43,69.58,0.83
123,Stranda,1,NO,1584327406,64,62.31,6.94,35.6,14.99
124,Umluj,0,SA,1584327406,37,25.02,37.27,68.52,9.75
125,Arraial do Cabo,0,BR,1584327025,83,-22.97,-42.03,77.9,26.57
126,Saskylakh,100,RU,1584327035,95,71.92,114.08,-12.32,20.71
127,Hong Kong,20,HK,1584326830,64,22.29,114.16,75.0,19.46
128,Spornoye,4,RU,1584327407,79,50.84,37.29,21.2,8.95
